Theta deg;Theta  rad;r(deg) Vesta;X Vesta;Y Vesta;X trans Vesta;Y trans Vesta;phi* (deg);Ts;Ts en jours ;deltaT_win(s);deltaT_win [JJ HH MM SS];Next window;;;;
192;3.351032164;347881581.1;-345335962.4;-73403424.78;-340279533.9;-72328647.73;;;;;;;;;;
193;3.368485456;347003276.6;-344002299.6;-79419188.66;-338109605.1;-78058752.93;;;;;;;;;;
194;3.385938749;346060921.1;-342563850.5;-85410760.68;-335781432.8;-83719714.03;;;;;;;;;;
195;3.403392041;345055877.3;-341021053;-91376315.76;-333298383.4;-89307032.68;;;;;;;;;;
196;3.420845334;343989583.5;-339374377.3;-97314036.72;-330664010.4;-94816379.23;;;;;;;;;;
197;3.438298626;342863548.8;-337624324.8;-103222114.9;-327882042.4;-100243600.3;;;;;;;;;;
198;3.455751919;341679348.4;-335771428.6;-109098750.6;-324956370.8;-105584725.3;;;;;;;;;;
199;3.473205211;340438618.2;-333816253.3;-114942153.8;-321891037.4;-110835972.6;;;;;;;;;;
200;3.490658504;339143049.8;-331759394.3;-120750544.5;-318690221.3;-115993754.5;;;;;;;;;;
201;3.508111797;337794385.1;-329601478.1;-126522153.4;-315358226.1;-121054681.2;;;;;;;;;;
202;3.525565089;336394411;-327343162.2;-132255222.4;-311899466.7;-126015564.4;;;;;;;;;;
203;3.543018382;334944954.4;-324985134.3;-137948005.2;-308318456.2;-130873420;;;;;;;;;;
204;3.560471674;333447876.4;-322528112.9;-143598767.7;-304619792.8;-135625469.9;;;;;;;;;;
205;3.577924967;331905067.4;-319972846.2;-149205788.6;-300808147.2;-140269142.7;;;;;;;;;;
206;3.595378259;330318442;-317320112.8;-154767360;-296888249;-144802074.2;;;;;;;;;;
207;3.612831552;328689933.5;-314570720.5;-160281787.8;-292864875.2;-149222107.2;;;;;;;;;;
208;3.630284844;327021489.5;-311725506.9;-165747392.1;-288742836.9;-153527289.7;;;;;;;;;;
209;3.647738137;325315066.4;-308785338.8;-171162508.2;-284526968.1;-157715873.8;;;;;;;;;;
210;3.665191429;323572625.2;-305751111.6;-176525486.6;-280222113.4;-161786312.6;;;;;;;;;;
211;3.682644722;321796126.8;-302623749.7;-181834693.6;-275833117.4;-165737257.7;;;;;;;;;;
212;3.700098014;319987527.7;-299404205.7;-187088512;-271364813.6;-169567555.2;;;;;;;;;;
213;3.717551307;318148775.5;-296093460.2;-192285341.4;-266822014.3;-173276242.1;;;;;;;;;;
214;3.735004599;316281805.6;-292692521.8;-197423598.8;-262209500.4;-176862541.2;;;;;;;;;;
215;3.752457892;314388536.8;-289202426.4;-202501719.1;-257532012.6;-180325856.5;;;;;;;;;;
216;3.769911184;312470867.9;-285624237.2;-207518155.4;-252794242.3;-183665767.9;;;;;;;;;;
217;3.787364477;310530674.6;-281959044.1;-212471379.6;-248000823.7;-186882025.1;;;;;;;;;;
218;3.804817769;308569806.3;-278207963.5;-217359883;-243156325.6;-189974542.2;;;;;;;;;;
219;3.822271062;306590083.2;-274372138;-222182176.5;-238265245;-192943391.1;;;;;;;;;;
220;3.839724354;304593293.5;-270452736.2;-226936791.2;-233331999.9;-195788795.1;;;;;;;;;;
221;3.857177647;302581191.3;-266450951.8;-231622278.7;-228360923.9;-198511122.6;;;;;;;;;;
222;3.874630939;300555494.1;-262368003.9;-236237211.8;-223356260.2;-201110880;;;;;;;;;;
223;3.892084232;298517881.1;-258205136.1;-240780184.7;-218322157.3;-203588705.3;;;;;;;;;;
224;3.909537524;296469990.9;-253963616.6;-245249813.7;-213262664.1;-205945360.8;;;;;;;;;;
225;3.926990817;294413420.9;-249644737.3;-249644737.3;-208181726.4;-208181726.4;;;;;;;;;;
226;3.94444411;292349725;-245249813.7;-253963616.6;-203083183.6;-210298792.8;;;;;;;;;;
227;3.961897402;290280413;-240780184.7;-258205136.1;-197970765.6;-212297654.5;;;;;;;;;;
228;3.979350695;288206949.4;-236237211.8;-262368003.9;-192848090.8;-214179503.1;;;;;;;;;;
229;3.996803987;286130752.7;-231622278.7;-266450951.8;-187718663.8;-215945620.3;;;;;;;;;;
230;4.01425728;284053195.1;-226936791.2;-270452736.2;-182585874.3;-217597371.6;;;;;;;;;;
231;4.031710572;281975601.4;-222182176.5;-274372138;-177452995.7;-219136199.8;;;;;;;;;;
232;4.049163865;279899249.3;-217359883;-278207963.5;-172323184.8;-220563618.4;;;;;;;;;;
233;4.066617157;277825369.2;-212471379.6;-281959044.1;-167199481;-221881205.4;;;;;;;;;;
234;4.08407045;275755144;-207518155.4;-285624237.2;-162084806.9;-223090597.8;;;;;;;;;;
235;4.101523742;273689709.2;-202501719.1;-289202426.4;-156981968.1;-224193484.8;;;;;;;;;;
236;4.118977035;271630153.6;-197423598.8;-292692521.8;-151893654.3;-225191603.2;;;;;;;;;;
237;4.136430327;269577519.3;-192285341.4;-296093460.2;-146822440;-226086731.2;;;;;;;;;;
238;4.15388362;267532802;-187088512;-299404205.7;-141770785.6;-226880683.4;;;;;;;;;;
239;4.171336912;265496952.3;-181834693.6;-302623749.7;-136741039.2;-227575305.9;;;;;;;;;;
240;4.188790205;263470875.5;-176525486.6;-305751111.6;-131735437.8;-228172471.4;;;;;;;;;;
241;4.206243497;261455433;-171162508.2;-308785338.8;-126756109.2;-228674074.2;;;;;;;;;;
242;4.22369679;259451442.7;-165747392.1;-311725506.9;-121805074.3;-229082026.8;;;;;;;;;;
243;4.241150082;257459680;-160281787.8;-314570720.5;-116884248.8;-229398254.6;;;;;;;;;;
244;4.258603375;255480878.8;-154767360;-317320112.8;-111995445.8;-229624692.8;;;;;;;;;;
245;4.276056667;253515732.3;-149205788.6;-319972846.2;-107140378.1;-229763282.4;;;;;;;;;;
246;4.29350996;251564894.3;-143598767.7;-322528112.9;-102320660.6;-229815966.5;;;;;;;;;;
247;4.310963252;249628979.8;-137948005.2;-324985134.3;-97537812.97;-229784687.4;;;;;;;;;;
248;4.328416545;247708566.4;-132255222.4;-327343162.2;-92793262.21;-229671383.4;;;;;;;;;;
249;4.345869837;245804195.3;-126522153.4;-329601478.1;-88088345.46;-229477985.5;;;;;;;;;;
250;4.36332313;243916372.5;-120750544.5;-331759394.3;-83424312.69;-229206415.3;;;;;;;;;;
251;4.380776423;242045569.8;-114942153.8;-333816253.3;-78802329.45;-228858582.4;;;;;;;;;;
252;4.398229715;240192225.8;-109098750.6;-335771428.6;-74223479.7;-228436381.5;;;;;;;;;;
253;4.415683008;238356747.5;-103222114.9;-337624324.8;-69688768.61;-227941691.3;;;;;;;;;;
254;4.4331363;236539511;-97314036.72;-339374377.3;-65199125.35;-227376371.5;;;;;;;;;;
